month,rents_count
2019-10-17 00:00:00,9260
2019-10-18 00:00:00,10988
2019-10-19 00:00:00,10114
2019-10-20 00:00:00,8994
2019-10-21 00:00:00,11676
2019-10-22 00:00:00,10609
2019-10-23 00:00:00,10209
2019-10-24 00:00:00,12187
2019-10-25 00:00:00,11864
2019-10-26 00:00:00,9726
2019-10-27 00:00:00,2133
2019-10-28 00:00:00,9058
2019-10-29 00:00:00,10533
2019-10-30 00:00:00,10321
2019-10-31 00:00:00,8742
2019-11-01 00:00:00,10510
2019-11-02 00:00:00,8610
2019-11-03 00:00:00,7211
2019-11-04 00:00:00,9889
2019-11-05 00:00:00,8253
2019-11-06 00:00:00,10388
2019-11-07 00:00:00,7658
2019-11-08 00:00:00,6754
2019-11-09 00:00:00,4880
2019-11-10 00:00:00,5787
2019-11-11 00:00:00,7829
2019-11-12 00:00:00,6470
2019-11-13 00:00:00,5917
2019-11-14 00:00:00,7040
2019-11-15 00:00:00,8435
2019-11-16 00:00:00,4859
2019-11-17 00:00:00,4012
2019-11-18 00:00:00,4695
2019-11-19 00:00:00,6163
2019-11-20 00:00:00,5104
2019-11-21 00:00:00,8404
2019-11-22 00:00:00,6959
2019-11-23 00:00:00,5472
2019-11-24 00:00:00,1423
2019-11-25 00:00:00,7897
2019-11-26 00:00:00,8366
2019-11-27 00:00:00,5589
2019-11-28 00:00:00,1455
2019-11-29 00:00:00,2551
2019-11-30 00:00:00,2179
2019-12-01 00:00:00,1754
2019-12-02 00:00:00,1792
2019-12-03 00:00:00,1688
2019-12-04 00:00:00,4425
2019-12-05 00:00:00,5769
2019-12-06 00:00:00,4882
2019-12-07 00:00:00,3265
2019-12-08 00:00:00,2952
2019-12-09 00:00:00,3340
2019-12-10 00:00:00,5827
2019-12-11 00:00:00,4032
2019-12-12 00:00:00,5258
2019-12-13 00:00:00,4971
2019-12-14 00:00:00,2803
2019-12-15 00:00:00,3225
2019-12-16 00:00:00,5037
2019-12-17 00:00:00,1887
2019-12-18 00:00:00,4022
2019-12-19 00:00:00,3004
2019-12-20 00:00:00,2926
2019-12-21 00:00:00,1663
2019-12-22 00:00:00,1654
2019-12-23 00:00:00,3099
2019-12-24 00:00:00,1699
2019-12-25 00:00:00,803
2019-12-26 00:00:00,1837
2019-12-27 00:00:00,2165
2019-12-28 00:00:00,2155
2019-12-29 00:00:00,1796
2019-12-30 00:00:00,662
2019-12-31 00:00:00,1816
